sub,emotion,X1,Y1,RT,study
1,annoyed,53,-50,12.775,study1
1,relaxed,151,-187,5.655,study1
1,enthusiastic,149,132,1.751,study1
1,calm,142,-197,2.413,study1
1,disappointed,-163,-137,2.256,study1
1,aroused,127,155,1.911,study1
1,neutral,-1,0,3.538,study1
1,sluggish,-170,-146,2.611,study1
1,peppy,128,171,2.275,study1
1,quiet,1,-231,5.2,study1
1,still,-5,-166,2.691,study1
1,surprised,-14,144,3.848,study1
1,sleepy,48,-233,4.884,study1
1,nervous,-141,189,11.367,study1
1,afraid,-43,174,2.141,study1
1,satisfied,223,147,5.808,study1
1,disgusted,-147,154,1.925,study1
1,angry,-164,172,1.858,study1
1,happy,101,127,1.602,study1
1,sad,-106,-140,1.812,study1
2,relaxed,155,1,94.706,study1
2,calm,224,2,9.161,study1
2,sad,-207,-3,5.427,study1
2,surprised,1,126,5.466,study1
2,still,0,3,3.139,study1
2,aroused,39,193,3.907,study1
2,peppy,141,134,3.082,study1
2,disappointed,-150,100,4.543,study1
2,sleepy,-160,-196,3.598,study1
2,angry,-138,195,3.662,study1
2,annoyed,-194,1,10.118,study1
2,enthusiastic,227,229,2.64,study1
2,nervous,-200,85,5.636,study1
2,disgusted,-243,238,2.552,study1
2,satisfied,247,225,1.851,study1
2,neutral,-4,0,1.972,study1
2,afraid,-158,-99,2.711,study1
2,sluggish,-151,-195,2.225,study1
2,quiet,-2,-2,2.775,study1
2,happy,250,153,3.812,study1
3,enthusiastic,233,235,10.968,study1
3,surprised,1,232,5.036,study1
3,still,1,-247,10.431,study1
3,happy,244,110,9.934,study1
3,aroused,1,240,9.091,study1
3,afraid,-239,243,7.086,study1
3,neutral,0,0,7.174,study1
3,satisfied,239,12,4.768,study1
3,annoyed,-151,122,5.095,study1
3,relaxed,153,-168,7.844,study1
3,sad,-122,2,10.017,study1
3,nervous,-2,234,4.97,study1
3,angry,-217,174,5.737,study1
3,calm,212,-228,4.448,study1
3,disappointed,-193,18,4.825,study1
3,quiet,194,-230,5.164,study1
3,peppy,201,203,3.238,study1
3,sluggish,-3,-241,7.684,study1
3,disgusted,-182,173,6.347,study1
3,sleepy,-1,-210,7.972,study1
4,quiet,236,-243,42.885,study1
4,disappointed,-240,235,3.945,study1
4,sad,-230,229,2.92,study1
4,enthusiastic,241,238,2.343,study1
4,sluggish,-3,-236,5.202,study1
4,happy,233,231,2.426,study1
4,disgusted,-236,233,3.022,study1
4,angry,-236,238,2.107,study1
4,calm,239,-240,2.173,study1
4,aroused,3,243,3.045,study1
4,surprised,0,241,3.098,study1
4,sleepy,-1,-235,2.525,study1
4,relaxed,241,-237,2.896,study1
4,neutral,2,1,2.805,study1
4,satisfied,244,-2,3.111,study1
4,nervous,-244,242,3.555,study1
4,peppy,242,238,3.584,study1
4,afraid,-243,239,2.703,study1
4,annoyed,-241,244,2.024,study1
4,still,1,0,4.118,study1
5,angry,-129,-126,8.247,study1
5,sad,-182,-69,7.319,study1
5,quiet,-29,1,5.956,study1
5,enthusiastic,140,115,4.339,study1
5,surprised,40,100,5.117,study1
5,sleepy,-80,-131,10.661,study1
5,disappointed,-207,-206,4.308,study1
5,still,-8,-10,3.271,study1
5,calm,1,-1,15.334,study1
5,afraid,-118,-222,4.556,study1
5,disgusted,-238,-246,4.279,study1
5,sluggish,-60,-141,3.745,study1
5,nervous,-145,-110,4.295,study1
5,annoyed,-229,-217,3.978,study1
5,aroused,3,230,8.092,study1
5,relaxed,37,1,6.318,study1
5,neutral,2,3,4.076,study1
5,satisfied,150,18,4.042,study1
5,peppy,83,8,23.957,study1
5,happy,195,70,4.052,study1
6,angry,-200,11,9.217,study1
6,still,190,19,5.503,study1
6,neutral,1,1,10.253,study1
6,quiet,205,-2,14.902,study1
6,satisfied,0,208,9.039,study1
6,sluggish,-189,-4,4.144,study1
6,annoyed,-206,-3,5.42,study1
6,relaxed,211,-1,5.361,study1
6,disappointed,-223,-4,4.509,study1
6,calm,-1,238,5.259,study1
6,peppy,-21,-2,5.149,study1
6,sad,3,-193,8.101,study1
6,happy,0,237,3.709,study1
6,afraid,-216,0,5.219,study1
6,nervous,-218,4,4.322,study1
6,disgusted,-236,-3,3.363,study1
6,enthusiastic,235,-5,3.222,study1
6,aroused,-4,2,7.699,study1
6,surprised,203,1,4.809,study1
6,sleepy,-3,-4,4.711,study1
7,enthusiastic,136,207,9.41,study1
7,angry,-179,196,6.464,study1
7,nervous,-228,94,8.021,study1
7,annoyed,-49,46,4.862,study1
7,disgusted,-189,126,4.929,study1
7,calm,41,1,5.833,study1
7,quiet,57,-155,8.795,study1
7,relaxed,184,-233,3.749,study1
7,satisfied,225,-86,4.702,study1
7,sad,-204,71,8.93,study1
7,surprised,-2,216,8.268,study1
7,sluggish,-39,-206,11.467,study1
7,still,21,-123,5.903,study1
7,sleepy,1,-225,6.752,study1
7,neutral,2,-1,4.234,study1
7,disappointed,-175,5,9.964,study1
7,happy,180,87,3.45,study1
7,afraid,-239,225,5.029,study1
7,aroused,102,157,5.927,study1
7,peppy,212,161,4.743,study1
8,sad,-202,-200,46.76,study1
8,aroused,-1,221,10.321,study1
8,annoyed,-239,1,8.145,study1
8,happy,239,2,4.854,study1
8,quiet,0,-238,9.92,study1
8,sluggish,-1,-241,11.197,study1
8,afraid,-172,1,8.249,study1
8,surprised,-1,136,18.481,study1
8,disgusted,-149,-1,5.863,study1
8,neutral,0,2,5.319,study1
8,nervous,0,116,10.161,study1
8,satisfied,153,0,6.85,study1
8,still,1,-242,7.039,study1
8,peppy,0,235,4.601,study1
8,relaxed,0,-239,7.184,study1
8,angry,-230,-1,6.243,study1
8,sleepy,0,-246,4.324,study1
8,enthusiastic,3,238,4.557,study1
8,calm,0,-240,6.516,study1
8,disappointed,-208,0,6.087,study1
9,nervous,-205,202,9.109,study1
9,afraid,-187,84,7.278,study1
9,peppy,161,193,6.178,study1
9,calm,219,-227,5.851,study1
9,happy,197,48,7.222,study1
9,quiet,31,-115,12.271,study1
9,disgusted,-152,-18,7.652,study1
9,annoyed,-119,67,7.202,study1
9,surprised,-39,145,5.914,study1
9,satisfied,143,-139,8.292,study1
9,still,25,-211,5.725,study1
9,relaxed,144,-208,5.036,study1
9,aroused,91,220,7.542,study1
9,disappointed,-39,-171,5.279,study1
9,angry,-179,235,11.997,study1
9,sluggish,-83,-220,7.318,study1
9,sad,-204,-152,6.566,study1
9,enthusiastic,168,239,6.666,study1
9,neutral,0,-1,8.067,study1
9,sleepy,0,-216,8.694,study1
10,sad,-72,-88,202.877,study1
10,sluggish,-76,-85,8.059,study1
10,quiet,-53,-80,3.24,study1
10,annoyed,-81,-79,2.05,study1
10,still,-1,-137,4.429,study1
10,relaxed,-49,-112,5.547,study1
10,angry,-70,68,4.332,study1
10,surprised,80,113,3.728,study1
10,disgusted,-84,121,2.535,study1
10,disappointed,-114,-130,5.534,study1
10,neutral,1,-2,3.313,study1
10,happy,161,181,10.542,study1
10,aroused,1,234,2.903,study1
10,calm,59,-211,3.262,study1
10,afraid,-79,109,2.113,study1
10,enthusiastic,165,198,4.218,study1
10,nervous,-90,105,3.903,study1
10,satisfied,116,100,1.453,study1
10,sleepy,-98,-111,2.472,study1
10,peppy,144,127,0.986,study1
11,angry,-41,-68,202.291,study1
11,nervous,-31,-95,8.331,study1
11,quiet,-33,-83,1.924,study1
11,annoyed,-35,-75,2.263,study1
11,surprised,35,79,7.277,study1
11,relaxed,-60,-83,2.117,study1
11,sad,110,-107,1.248,study1
11,disgusted,-97,65,2.842,study1
11,still,8,-155,4.244,study1
11,satisfied,107,-95,2.749,study1
11,calm,121,-116,1.14,study1
11,sluggish,-115,-126,1.156,study1
11,afraid,-85,111,7.004,study1
11,neutral,0,1,1.177,study1
11,sleepy,0,-211,4.048,study1
11,enthusiastic,141,124,12.49,study1
11,aroused,3,232,2.121,study1
11,happy,91,183,1.94,study1
11,disappointed,-28,-151,2.255,study1
11,peppy,116,121,3.201,study1
12,sad,-147,-28,15.866,study1
12,neutral,0,1,5.536,study1
12,aroused,105,173,8.742,study1
12,nervous,-76,147,6.54,study1
12,still,2,-100,8.192,study1
12,disappointed,-134,24,7.718,study1
12,sluggish,-107,-166,8.938,study1
12,angry,-130,149,16.974,study1
12,peppy,123,144,5.135,study1
12,disgusted,-89,89,8.094,study1
12,satisfied,85,-53,9.96,study1
12,annoyed,-92,64,6.522,study1
12,surprised,28,94,12.012,study1
12,enthusiastic,151,147,5.015,study1
12,calm,87,-159,8.789,study1
12,relaxed,114,-143,7.792,study1
12,happy,168,92,7.176,study1
12,sleepy,3,-184,5.411,study1
12,quiet,1,-127,5.038,study1
12,afraid,-132,73,7.657,study1
13,sad,-216,-230,11.948,study1
13,still,1,-223,10.06,study1
13,nervous,-195,181,4.365,study1
13,afraid,-234,233,4.182,study1
13,neutral,-1,-160,13.06,study1
13,quiet,41,-207,6.667,study1
13,disgusted,-202,116,5.544,study1
13,disappointed,-196,-157,3.748,study1
13,annoyed,-182,75,22.191,study1
13,surprised,0,70,12.331,study1
13,angry,-175,224,7.829,study1
13,aroused,1,244,9.982,study1
13,peppy,145,90,5.128,study1
13,sluggish,-197,-176,14.947,study1
13,enthusiastic,171,174,3.435,study1
13,happy,239,115,7.573,study1
13,sleepy,-3,-191,31.07,study1
13,relaxed,160,-199,13.909,study1
13,satisfied,137,21,6.696,study1
13,calm,103,-202,5.411,study1
14,satisfied,162,64,24.194,study1
14,happy,224,239,6.798,study1
14,sad,-88,-103,5.929,study1
14,sluggish,-93,-91,2.199,study1
14,relaxed,46,45,6.317,study1
14,still,0,-1,4.899,study1
14,quiet,-2,0,4.742,study1
14,peppy,79,145,16.362,study1
14,disappointed,-80,-65,6.993,study1
14,aroused,2,200,29.161,study1
14,disgusted,-93,-148,8.391,study1
14,calm,0,0,4.453,study1
14,sleepy,1,1,3.021,study1
14,surprised,193,224,57.007,study1
14,annoyed,-167,-168,2.472,study1
14,nervous,2,-178,8.564,study1
14,enthusiastic,83,44,4.891,study1
14,angry,-222,-134,5.411,study1
14,afraid,-213,-137,2.772,study1
14,neutral,-1,1,3.029,study1
15,disappointed,-84,16,4.148,study1
15,still,3,-104,4.932,study1
15,quiet,35,-186,3.709,study1
15,disgusted,-160,135,2.54,study1
15,satisfied,136,103,2.141,study1
15,surprised,55,99,2.398,study1
15,sleepy,-46,-151,3.69,study1
15,angry,-176,106,2.73,study1
15,aroused,243,242,4.045,study1
15,enthusiastic,159,140,2.346,study1
15,calm,66,-6,3.253,study1
15,neutral,1,-1,2.846,study1
15,nervous,-81,20,4.921,study1
15,annoyed,-77,72,2.934,study1
15,happy,102,46,2.281,study1
15,sad,-107,50,2.714,study1
15,peppy,142,152,2.965,study1
15,sluggish,-150,-158,2.734,study1
15,relaxed,97,-39,4.78,study1
15,afraid,-206,183,2.912,study1
16,quiet,133,-219,7.766,study1
16,sluggish,-128,-169,11.57,study1
16,angry,-125,132,4.941,study1
16,surprised,116,183,5.286,study1
16,aroused,231,236,3.909,study1
16,relaxed,237,-249,3.838,study1
16,happy,250,44,7.813,study1
16,peppy,229,210,5.94,study1
16,disappointed,-167,-152,4.375,study1
16,nervous,-117,132,5.392,study1
16,afraid,-181,234,3.968,study1
16,sad,-235,-186,6.114,study1
16,satisfied,249,-35,5.547,study1
16,annoyed,-149,70,5.529,study1
16,still,125,-247,9.024,study1
16,enthusiastic,248,134,5.574,study1
16,sleepy,1,-218,4.425,study1
16,disgusted,-211,196,5.206,study1
16,calm,1,-2,5.084,study1
16,neutral,-2,1,3.97,study1
17,surprised,92,90,13.423,study1
17,peppy,110,117,6.068,study1
17,annoyed,-146,-142,5.908,study1
17,still,120,-87,3.936,study1
17,sad,-200,-219,5.653,study1
17,calm,153,-83,3.906,study1
17,disgusted,-230,-236,4.337,study1
17,relaxed,225,-239,4.719,study1
17,enthusiastic,172,119,3.682,study1
17,satisfied,185,164,4.177,study1
17,aroused,228,244,4.627,study1
17,nervous,-213,131,7.831,study1
17,neutral,101,-138,3.918,study1
17,happy,142,179,3.819,study1
17,afraid,-223,-212,4.776,study1
17,sleepy,-139,-24,9.33,study1
17,sluggish,-196,-216,6.309,study1
17,disappointed,-165,-152,5.662,study1
17,angry,-190,101,4.971,study1
17,quiet,157,-116,3.775,study1
18,happy,245,-7,5.058,study1
18,peppy,7,235,5.069,study1
18,surprised,6,227,4.178,study1
18,sleepy,4,-240,3.012,study1
18,nervous,-239,-5,4.948,study1
18,sad,-234,-7,3.675,study1
18,still,0,-183,7.396,study1
18,aroused,2,115,5.416,study1
18,disgusted,-230,3,4.805,study1
18,angry,-215,3,4.501,study1
18,satisfied,211,3,5.708,study1
18,enthusiastic,1,207,5.551,study1
18,relaxed,2,-1,5.197,study1
18,neutral,2,1,3.477,study1
18,disappointed,-237,-5,4.379,study1
18,sluggish,3,-238,5.465,study1
18,annoyed,-233,-2,3.403,study1
18,calm,0,1,5.376,study1
18,quiet,2,1,8.805,study1
18,afraid,-233,0,4.055,study1
19,sad,-76,-104,6.756,study1
19,enthusiastic,176,168,2.908,study1
19,sleepy,-31,-228,3.534,study1
19,sluggish,-112,-217,1.628,study1
19,relaxed,234,193,4.14,study1
19,afraid,-230,-235,2.839,study1
19,satisfied,168,25,3.629,study1
19,aroused,12,231,2.383,study1
19,angry,-208,143,5.461,study1
19,disappointed,-117,41,2.933,study1
19,neutral,1,1,5.042,study1
19,annoyed,-132,21,4.062,study1
19,nervous,-118,16,6.149,study1
19,calm,168,-33,3.01,study1
19,disgusted,-166,106,3.452,study1
19,surprised,163,161,3.341,study1
19,quiet,98,-1,5.568,study1
19,still,120,2,2.695,study1
19,happy,178,-1,3.065,study1
19,peppy,204,104,2.724,study1
20,peppy,141,162,20.488,study1
20,aroused,2,183,16.317,study1
20,surprised,32,160,9.337,study1
20,afraid,-222,208,6.058,study1
20,sleepy,1,-196,5.659,study1
20,quiet,1,-146,31.62,study1
20,nervous,-119,201,6.671,study1
20,disappointed,-124,-168,5.14,study1
20,annoyed,-127,74,7.591,study1
20,satisfied,134,1,47.798,study1
20,sad,-196,-52,23.021,study1
20,enthusiastic,202,202,67.54,study1
20,relaxed,97,-159,6.385,study1
20,sluggish,-38,-167,4.622,study1
20,happy,98,101,7.786,study1
20,angry,-207,164,4.751,study1
20,still,4,1,8.192,study1
20,disgusted,-150,-44,7.3,study1
20,neutral,2,0,6.444,study1
20,calm,119,-118,5.074,study1
21,satisfied,123,116,21.082,study1
21,aroused,-1,240,7.363,study1
21,happy,236,2,7.272,study1
21,neutral,-1,-1,4.301,study1
21,peppy,119,156,7.69,study1
21,disgusted,-216,105,6.988,study1
21,quiet,-1,-109,10.803,study1
21,nervous,-79,97,8.682,study1
21,calm,-1,-161,6.17,study1
21,sluggish,-1,-222,3.815,study1
21,disappointed,-197,32,8.558,study1
21,annoyed,-177,81,4.587,study1
21,enthusiastic,137,229,6.797,study1
21,surprised,-1,152,4.965,study1
21,relaxed,-1,-47,6.706,study1
21,angry,-241,240,5.05,study1
21,sleepy,-1,-245,3.599,study1
21,still,-1,-2,5.226,study1
21,afraid,-174,184,4.416,study1
21,sad,-137,-143,4.145,study1
22,relaxed,147,14,7.282,study1
22,annoyed,-10,124,5.826,study1
22,aroused,-7,58,6.33,study1
22,still,3,-154,4.429,study1
22,enthusiastic,191,174,8.21,study1
22,happy,160,206,3.554,study1
22,neutral,2,-5,4.163,study1
22,surprised,139,163,3.53,study1
22,disgusted,-13,-167,3.402,study1
22,peppy,88,121,3.953,study1
22,angry,-88,156,4.716,study1
22,calm,65,-110,15.088,study1
22,sad,-167,-53,5.375,study1
22,sluggish,-165,-155,7.552,study1
22,nervous,-129,107,4.594,study1
22,quiet,12,-94,5.508,study1
22,sleepy,31,-147,4.869,study1
22,satisfied,102,61,3.808,study1
22,disappointed,-204,-121,6.762,study1
22,afraid,-209,60,4.619,study1
23,calm,0,-227,11.6,study1
23,aroused,1,228,3.35,study1
23,annoyed,-160,85,11.284,study1
23,sluggish,-121,-243,5.308,study1
23,satisfied,114,-117,9.09,study1
23,enthusiastic,160,197,7.343,study1
23,sleepy,3,-239,4.701,study1
23,afraid,-196,209,12.774,study1
23,surprised,-1,155,10.812,study1
23,relaxed,80,-132,9.436,study1
23,angry,-205,142,6.973,study1
23,still,-3,-230,5.426,study1
23,quiet,2,-149,9.253,study1
23,neutral,1,-1,3.26,study1
23,peppy,55,178,11.724,study1
23,disappointed,-136,-3,15.466,study1
23,nervous,-76,138,6.361,study1
23,disgusted,-105,61,6.912,study1
23,sad,-223,-89,7.479,study1
23,happy,233,113,5.897,study1
24,peppy,1,62,21.412,study1
24,angry,-228,1,10.347,study1
24,relaxed,223,-3,3.377,study1
24,sleepy,5,199,2.897,study1
24,enthusiastic,93,-2,3.921,study1
24,sluggish,-3,-121,12.739,study1
24,happy,232,-1,3.248,study1
24,aroused,1,226,16.758,study1
24,still,0,-1,6.166,study1
24,quiet,-1,0,3.579,study1
24,disappointed,-232,3,3.133,study1
24,afraid,-235,2,4.061,study1
24,calm,2,-4,5.619,study1
24,nervous,-111,-6,4.746,study1
24,sad,-144,5,6.19,study1
24,neutral,3,0,3.733,study1
24,annoyed,93,-9,13.88,study1
24,satisfied,4,1,4.207,study1
24,surprised,222,0,17.594,study1
24,disgusted,-162,3,2.834,study1
25,sad,-243,-244,34.457,study1
25,surprised,247,248,4.008,study1
25,quiet,0,-1,4.216,study1
25,afraid,-244,246,5.614,study1
25,aroused,0,246,6.167,study1
25,sluggish,0,-246,2.885,study1
25,satisfied,247,-2,9.574,study1
25,happy,250,134,7.029,study1
25,angry,-243,246,5.851,study1
25,disgusted,-241,-151,15.515,study1
25,disappointed,-243,-111,4.876,study1
25,neutral,0,-1,6.455,study1
25,peppy,245,144,17.35,study1
25,sleepy,1,-247,4.736,study1
25,calm,250,-249,6.236,study1
25,relaxed,247,-249,15.174,study1
25,nervous,-94,106,7.781,study1
25,annoyed,-112,110,9.824,study1
25,still,2,-111,7.234,study1
25,enthusiastic,246,175,4.136,study1
26,disappointed,-147,31,38.905,study1
26,disgusted,-219,228,7.577,study1
26,afraid,-158,229,23.374,study1
26,nervous,-156,33,13.925,study1
26,happy,166,146,46.814,study1
26,sad,-175,-35,4.447,study1
26,angry,-127,198,4.724,study1
26,surprised,2,164,43.771,study1
26,annoyed,-120,158,4.674,study1
26,sleepy,-22,-244,37.34,study1
26,quiet,-9,-7,6.116,study1
26,aroused,15,230,5.015,study1
26,peppy,212,239,3.674,study1
26,satisfied,116,83,3.687,study1
26,calm,52,-222,57.447,study1
26,relaxed,90,-172,3.769,study1
26,sluggish,-173,-239,5.858,study1
26,neutral,6,6,4.362,study1
26,still,8,-26,10.742,study1
26,enthusiastic,201,224,4.666,study1
27,enthusiastic,235,1,12.27,study1
27,relaxed,236,2,4.309,study1
27,afraid,-240,1,4.839,study1
27,disgusted,-230,6,6.543,study1
27,sluggish,-240,2,5.639,study1
27,neutral,0,0,4.129,study1
27,happy,138,156,18.097,study1
27,nervous,-196,208,5.874,study1
27,surprised,234,-1,5.33,study1
27,aroused,3,234,7.518,study1
27,satisfied,238,0,3.889,study1
27,annoyed,-233,4,4.651,study1
27,disappointed,-234,5,3.761,study1
27,calm,236,0,3.459,study1
27,still,0,3,3.778,study1
27,quiet,2,1,5.737,study1
27,sleepy,0,4,3.056,study1
27,peppy,-2,3,3.311,study1
27,angry,-234,2,7.608,study1
27,sad,-233,2,2.976,study1
28,relaxed,166,-210,3.269,study1
28,sad,-126,-156,3.372,study1
28,sluggish,-127,-201,5.323,study1
28,sleepy,68,-222,3.158,study1
28,calm,117,-210,1.36,study1
28,annoyed,-134,-68,3.493,study1
28,neutral,1,-1,4.999,study1
28,happy,202,48,2.729,study1
28,afraid,-141,93,4.457,study1
28,satisfied,167,48,2.51,study1
28,peppy,184,194,2.52,study1
28,surprised,161,85,2.038,study1
28,disgusted,-176,131,2.311,study1
28,nervous,-118,53,2.849,study1
28,aroused,3,242,3.289,study1
28,angry,-175,174,2.564,study1
28,enthusiastic,181,204,2.081,study1
28,disappointed,-183,112,3.633,study1
28,quiet,42,-168,4.898,study1
28,still,2,-224,2.903,study1
29,calm,109,-147,22.724,study1
29,neutral,-1,-1,7.805,study1
29,nervous,-86,185,7.626,study1
29,sleepy,-59,-208,10.34,study1
29,enthusiastic,122,202,15.78,study1
29,aroused,62,219,9.166,study1
29,disgusted,-185,-16,8.599,study1
29,happy,226,193,8.997,study1
29,sluggish,-100,-214,8.015,study1
29,afraid,-182,-43,8.93,study1
29,disappointed,-71,-93,12.058,study1
29,peppy,200,208,7.164,study1
29,quiet,-22,-218,5.21,study1
29,annoyed,-199,-31,6.639,study1
29,satisfied,127,-20,17.378,study1
29,surprised,28,173,7.281,study1
29,relaxed,110,-222,5.511,study1
29,still,46,-189,6.9,study1
29,angry,-156,206,8.94,study1
29,sad,-185,-127,11.5,study1
30,afraid,-217,208,4.379,study1
30,nervous,-22,135,5.456,study1
30,sleepy,-1,-91,6.664,study1
30,sad,-130,-188,2.857,study1
30,satisfied,234,114,3.88,study1
30,enthusiastic,214,222,2.098,study1
30,still,-1,-185,6.559,study1
30,relaxed,1,-4,10.576,study1
30,peppy,61,197,3.887,study1
30,angry,-222,225,74.254,study1
30,sluggish,-21,-201,3.552,study1
30,surprised,15,180,4.587,study1
30,disgusted,-229,65,3.472,study1
30,disappointed,-23,-207,3.454,study1
30,quiet,3,-1,2.641,study1
30,happy,162,172,2.569,study1
30,calm,3,-1,2.401,study1
30,annoyed,-146,37,2.785,study1
30,aroused,1,238,5.187,study1
30,neutral,0,0,2.684,study1
31,sluggish,-157,-155,9.797,study1
31,disgusted,-132,131,6.837,study1
31,disappointed,-202,61,18.612,study1
31,sad,-217,-117,14.227,study1
31,angry,-220,207,5.322,study1
31,neutral,9,13,8.536,study1
31,aroused,57,61,12.503,study1
31,relaxed,213,-109,9.087,study1
31,quiet,209,-189,5.466,study1
31,calm,222,-177,8.186,study1
31,satisfied,223,93,7.542,study1
31,annoyed,-147,133,5.858,study1
31,still,219,-230,4.953,study1
31,afraid,-232,231,7.732,study1
31,enthusiastic,195,192,5.295,study1
31,happy,209,179,5.982,study1
31,nervous,-126,106,6.09,study1
31,sleepy,14,-206,9.914,study1
31,surprised,172,128,5.547,study1
31,peppy,184,184,4.388,study1
32,still,136,-216,12.01,study1
32,sad,-127,14,6.429,study1
32,nervous,-57,216,8.432,study1
32,annoyed,-137,209,6.668,study1
32,enthusiastic,191,137,7.205,study1
32,calm,81,-110,5.854,study1
32,satisfied,116,0,10.122,study1
32,peppy,84,102,10.379,study1
32,afraid,-126,149,8.131,study1
32,sleepy,35,-229,4.774,study1
32,aroused,0,245,8.004,study1
32,sluggish,-38,-186,10.892,study1
32,disappointed,-135,-15,7.382,study1
32,quiet,2,2,9.714,study1
32,happy,106,74,4.037,study1
32,angry,-128,117,4.736,study1
32,relaxed,51,-176,5.842,study1
32,surprised,-1,127,8.398,study1
32,neutral,3,-2,3.755,study1
32,disgusted,-223,208,5.198,study1
33,sad,-164,-2,16.279,study1
33,sluggish,-1,-104,10.723,study1
33,neutral,3,1,13.535,study1
33,nervous,1,173,10.286,study1
33,annoyed,-180,0,10.003,study1
33,angry,-156,-2,13.155,study1
33,still,-2,-45,10.137,study1
33,relaxed,3,-31,13,study1
33,calm,2,-26,11.204,study1
33,aroused,1,179,10.643,study1
33,surprised,1,212,9.392,study1
33,peppy,1,217,37.785,study1
33,afraid,-190,4,8.855,study1
33,sleepy,-1,-227,8.268,study1
33,disappointed,-129,3,7.156,study1
33,disgusted,1,127,14.756,study1
33,satisfied,157,2,4.801,study1
33,quiet,0,-15,12.443,study1
33,enthusiastic,232,1,5.022,study1
33,happy,196,-1,4.438,study1
34,angry,-129,151,4.937,study1
34,surprised,167,225,5.13,study1
34,sleepy,1,-172,5.303,study1
34,disgusted,-149,64,4.426,study1
34,sluggish,-54,-184,3.953,study1
34,peppy,131,226,5.569,study1
34,disappointed,-132,-172,3.706,study1
34,relaxed,201,-190,3.309,study1
34,still,1,-225,5.048,study1
34,aroused,0,228,3.475,study1
34,satisfied,134,174,2.741,study1
34,nervous,-132,198,4.756,study1
34,calm,163,-201,2.485,study1
34,enthusiastic,156,207,2.753,study1
34,quiet,160,-188,4.037,study1
34,afraid,-181,202,3.01,study1
34,happy,191,191,2.567,study1
34,sad,-204,55,3.918,study1
34,neutral,0,0,3.9,study1
34,annoyed,-144,172,4.219,study1
35,sleepy,90,-192,10.018,study1
35,calm,206,-226,4.012,study1
35,enthusiastic,186,206,6.223,study1
35,neutral,15,-114,11.657,study1
35,afraid,-150,194,5.013,study1
35,disappointed,-146,-66,8.029,study1
35,relaxed,210,-214,4.679,study1
35,aroused,78,216,5.732,study1
35,still,30,-228,7.116,study1
35,angry,-217,231,3.724,study1
35,sluggish,-109,-234,5.317,study1
35,quiet,98,-182,8.777,study1
35,annoyed,-94,98,5.147,study1
35,happy,144,85,6.443,study1
35,peppy,126,196,4.636,study1
35,satisfied,163,-31,8.22,study1
35,surprised,-2,149,8.344,study1
35,sad,-134,-103,5.536,study1
35,nervous,-164,180,3.978,study1
35,disgusted,-174,182,3.482,study1
36,calm,165,-187,11.783,study1
36,aroused,92,192,5.256,study1
36,quiet,165,-243,7.105,study1
36,surprised,1,206,6.326,study1
36,happy,238,181,4.133,study1
36,annoyed,-175,-50,4.894,study1
36,relaxed,173,-220,3.433,study1
36,peppy,126,133,3.758,study1
36,angry,-176,128,3.53,study1
36,sad,-121,-132,5.138,study1
36,afraid,-166,109,4,study1
36,still,3,-246,4.394,study1
36,nervous,-204,-50,3.805,study1
36,sluggish,-56,-242,7.415,study1
36,sleepy,0,-249,4.427,study1
36,disgusted,-182,-3,4.494,study1
36,disappointed,-122,-69,4.483,study1
36,neutral,0,1,8.172,study1
36,satisfied,112,-105,4.268,study1
36,enthusiastic,88,121,3.18,study1
37,disappointed,-147,-127,19.482,study1
37,enthusiastic,200,142,8.468,study1
37,surprised,0,145,6.188,study1
37,neutral,1,0,4.744,study1
37,aroused,1,237,5.922,study1
37,disgusted,-249,134,7.627,study1
37,sad,-113,-167,5.833,study1
37,nervous,-23,186,13.548,study1
37,quiet,32,-207,6.104,study1
37,peppy,131,106,7.161,study1
37,angry,-26,208,7.15,study1
37,annoyed,-108,27,5.692,study1
37,afraid,-199,72,8.79,study1
37,sluggish,-21,-220,4.571,study1
37,sleepy,69,-240,5.179,study1
37,satisfied,169,-31,10.247,study1
37,calm,215,1,10.456,study1
37,still,116,-97,8.063,study1
37,happy,187,65,6.47,study1
37,relaxed,134,-139,6.979,study1
38,enthusiastic,139,163,6.813,study1
38,relaxed,224,-182,6.016,study1
38,angry,-210,196,3.229,study1
38,disgusted,-216,37,4.409,study1
38,quiet,26,-224,6.325,study1
38,calm,159,-229,3.968,study1
38,sluggish,-56,-227,4.078,study1
38,still,0,-229,3.825,study1
38,neutral,1,0,4.054,study1
38,sleepy,-2,-225,4.425,study1
38,surprised,-85,224,3.51,study1
38,aroused,80,229,5.081,study1
38,nervous,-224,228,4.293,study1
38,peppy,200,227,3.29,study1
38,happy,229,48,5.603,study1
38,sad,-215,-102,5.436,study1
38,annoyed,-206,62,3.625,study1
38,disappointed,-233,1,3.403,study1
38,afraid,-217,218,3.342,study1
38,satisfied,207,-36,6.947,study1
39,disgusted,-165,110,7.324,study1
39,angry,-227,239,7.918,study1
39,sad,-170,59,12.607,study1
39,relaxed,231,-205,16.08,study1
39,neutral,-1,2,5.358,study1
39,nervous,-160,70,7.232,study1
39,disappointed,-140,90,6.47,study1
39,happy,213,161,5.514,study1
39,enthusiastic,234,209,4.804,study1
39,sleepy,65,-236,9.491,study1
39,quiet,16,-128,11.172,study1
39,aroused,23,244,7.798,study1
